trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
581,False,"{'a': 0.63154259808407209, 'e': 0.15836447928315844}",20,5,-69.90479184061917,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 2}",1
582,False,"{'a': 0.63096176683188965, 'e': 0.15546369471272947}",25,0,-17.364887865926523,"{0: 22, 1: 0, 2: 2, 3: 1, 4: 0}",0
583,False,"{'a': 0.63037993616103805, 'e': 0.15255792465868723}",20,0,12.500851931953346,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
584,False,"{'a': 0.62979710607251693, 'e': 0.14964716914595888}",20,12,15.988056701350972,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
585,False,"{'a': 0.62921327656732551, 'e': 0.1467314281994716}",30,12,7.111135697788377,"{0: 16, 1: 0, 2: 2, 3: 0, 4: 0}",1
586,False,"{'a': 0.62862844764646342, 'e': 0.14381070184415257}",35,19,-1.1771333133287711,"{0: 14, 1: 0, 2: 2, 3: 0, 4: 0}",1
587,False,"{'a': 0.62804261931092986, 'e': 0.14088499010492894}",25,16,10.809632499645318,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
588,False,"{'a': 0.62745579156172449, 'e': 0.13795429300672724}",25,0,12.849398596910754,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
589,False,"{'a': 0.62686796439984649, 'e': 0.1350186105744744}",20,0,12.216245524803744,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
590,False,"{'a': 0.62627913782629552, 'e': 0.13207794283309715}",25,0,10.92620311690724,"{0: 23, 1: 1, 2: 1, 3: 0, 4: 0}",0
591,False,"{'a': 0.62568931184207077, 'e': 0.12913228980752178}",20,0,9.609849616678163,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
592,False,"{'a': 0.62509848644817168, 'e': 0.12618165152267458}",30,7,-4.3659132539561085,"{0: 20, 1: 0, 2: 3, 3: 0, 4: 0}",1
593,False,"{'a': 0.62450666164559765, 'e': 0.12322602800348204}",20,0,20.25514301290993,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
594,False,"{'a': 0.62391383743534812, 'e': 0.12026541927487}",20,0,-16.4858650751217,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
595,False,"{'a': 0.6233200138184225, 'e': 0.11729982536176453}",25,0,31.531923699953662,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
596,False,"{'a': 0.62272519079582023, 'e': 0.11432924628909147}",20,13,13.173613136964072,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
597,False,"{'a': 0.62212936836854071, 'e': 0.11135368208177665}",25,17,16.06461206910641,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
